Anuncio BOE,Cantidad reclamada,Cuenta expediente,Fecha de conclusión,Fecha de inicio,Forma adjudicación,Identificador,Importe del depósito,Lotes,Puja mínima,Tasación,Tipo de subasta,Tramos entre pujas,Valor subasta
BOE-B-2025-8664,"1.216.934,28 €",4355 0000 06 0762 19,02-04-2025 18:00:00 CET  (ISO: 2025-04-02T18:00:00+02:00),13-03-2025 18:00:00 CET  (ISO: 2025-03-13T18:00:00+01:00),Separada para cada lote,SUB-JA-2024-224539,Ver importe de consignación de cada lote (adjudicación independiente),16,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-9276,"102.050,00 €",4705 0000 00 0463 23,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-242408,"7.065,09 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,Sin tramos,"141.301,83 €"
BOE-B-2025-8708,"131.635,58 €",4332 0000 06 0272 19,02-04-2025 18:00:00 CET  (ISO: 2025-04-02T18:00:00+02:00),13-03-2025 18:00:00 CET  (ISO: 2025-03-13T18:00:00+01:00),,SUB-JA-2025-243676,"14.452,01 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"5.780,80 €","289.040,30 €"
BOE-B-2025-7206,"215.486,80 €",1683 0000 06 0239 20,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-243140,"18.660,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"7.464,00 €","373.200,00 €"
BOE-B-2025-8551,,,31-03-2025 18:00:00 CET  (ISO: 2025-03-31T18:00:00+02:00),11-03-2025 18:00:00 CET  (ISO: 2025-03-11T18:00:00+01:00),,SUB-AT-2025-24R2886001372,"12.243,94 €",Sin lotes,"24.487,89 €","244.878,88 €",AGENCIA TRIBUTARIA,"2.000,00 €","244.878,88 €"
BOE-B-2025-7781,"79.662,78 €",2725 0000 06 0482 10,27-03-2025 18:00:00 CET  (ISO: 2025-03-27T18:00:00+01:00),07-03-2025 18:00:00 CET  (ISO: 2025-03-07T18:00:00+01:00),,SUB-JA-2025-243439,"5.505,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.202,00 €","110.100,00 €"
BOE-B-2025-9574,,,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-AT-2025-24R4186001779,"716,89 €",Sin lotes,"1.433,78 €","14.337,81 €",AGENCIA TRIBUTARIA,"500,00 €","14.337,81 €"
BOE-B-2025-7257,"61.906,26 €",0726 0000 06 0183 23,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-242510,"5.740,82 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"2.296,32 €","114.816,45 €"
BOE-B-2025-9414,"117.161,15 €",4228 0000 06 0309 24,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),Separada para cada lote,SUB-JA-2025-241994,Ver importe de consignación de cada lote (adjudicación independiente),2,Ver puja mínima de cada lote (adjudicación independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),JUDICIAL EN VÍA DE APREMIO,Ver tramos de cada lote (adjudicación independiente),Ver valor de subasta en cada lote (los lotes se subastan de forma independiente)
BOE-B-2025-7314,"102.428,43 €",0186 0000 06 0796 21,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-242604,"10.458,52 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"4.183,41 €","209.170,55 €"
